Empresa,Circuito,Abonados,DPI,FPI
CNFL,SUR-SAN CAYETANO,4890,7.94,20.46
CNFL,ESCAZU-SANTA ANA SUR,5276,7.91,8.87
COOPEGUANACASTE,NUEVO COLON-BRASILITO,5267,7.86,11.75
CNFL,SABANILLA-IPIS,6592,7.85,19.07
ESPH,SAN PABLO,22164,7.81,13.43
COOPEGUANACASTE,SANTARITA-HOJANCHA,8188,7.75,11.54
ICE,NARANJO-ALTO CASTRO,14568,7.73,6.77
CNFL,CAJA-INA,4375,7.68,6.25
COOPEGUANACASTE,GUAYABAL-NICOYA,12790,7.67,9.96
ESPH,NORTE,27288,7.63,8.61
CNFL,ELECTRIONA-POTRERILLOS,5708,7.42,6.92
COOPELESCA,PITAL,4784,7.36,7.35
COOPEGUANACASTE,NUEVOCOLON-POTRERO,1808,7.29,8.25
CNFL,#N/D,16901,7.2,8.22
CNFL,PORROSATI-SAN LORENZO,8882,7.16,9.29
